,round,algorithm,QoS,runtime,n_requests,req_id,req_service,req_acc,req_delay,served_acc,served_delay
46,0,GSP-GRS,25.03056201452309,43.15229916572571,200,35,93,0.36806801575585213,16,0.5024757019579429,8.481787572696664
47,0,GSP-GRS,25.03056201452309,43.15229916572571,200,40,84,0.6692728680222514,5,0.771937528959617,12.296471619548543
48,0,GSP-GRS,25.03056201452309,43.15229916572571,200,47,45,0.9876849219274767,62,0.7529261952411148,7.6549200087661635
49,0,GSP-GRS,25.03056201452309,43.15229916572571,200,58,66,0.467706503842711,34,0.7634372906745873,6.72053541227067
50,0,GSP-GRS,25.03056201452309,43.15229916572571,200,60,70,0.2408924247955415,24,0.5661571877271591,8.527701254973984
51,0,GSP-GRS,25.03056201452309,43.15229916572571,200,66,67,0.14370455617595665,50,0.41345369531573645,8.56616261231646
52,0,GSP-GRS,25.03056201452309,43.15229916572571,200,73,83,0.9784941776316064,27,0.6869693937636321,6.626999780845935
53,0,GSP-GRS,25.03056201452309,43.15229916572571,200,75,53,0.6808637340649086,15,0.7132397005923428,6.005122175152618
54,0,GSP-GRS,25.03056201452309,43.15229916572571,200,77,49,0.719290697252588,6,0.6281732005508074,5.61559525151813
55,0,GSP-GRS,25.03056201452309,43.15229916572571,200,96,3,0.9067070823558431,9,0.5438772796373655,7.805325987144169
56,0,GSP-GRS,25.03056201452309,43.15229916572571,200,97,36,0.3473571522023402,86,0.6118030321585052,5.460770259169177
57,0,GSP-GRS,25.03056201452309,43.15229916572571,200,98,10,0.9285426847602017,83,0.6891116829729327,4.48296635149719
58,0,GSP-GRS,25.03056201452309,43.15229916572571,200,102,98,0.23114320623117016,47,0.7603360621231074,7.7040981810212585
59,0,GSP-GRS,25.03056201452309,43.15229916572571,200,105,6,0.49534554590996854,23,0.40784563410111346,7.235996326905418
60,0,GSP-GRS,25.03056201452309,43.15229916572571,200,106,60,0.9108250369460202,21,0.7557021201390268,3.5743118083855485
61,0,GSP-GRS,25.03056201452309,43.15229916572571,200,108,53,0.6902732796145529,28,0.7132397005923428,8.500109577032655
62,0,GSP-GRS,25.03056201452309,43.15229916572571,200,113,83,0.8254448068143234,9,0.6869693937636321,6.626999780845935
63,0,GSP-GRS,25.03056201452309,43.15229916572571,200,119,45,0.6894123888563477,53,0.7529261952411148,5.281300839199137
64,0,GSP-GRS,25.03056201452309,43.15229916572571,200,131,7,0.6761830028578484,78,0.41273309846641876,7.035853605084375
65,0,GSP-GRS,25.03056201452309,43.15229916572571,200,135,80,0.5086099358933206,61,0.7371564194556607,8.631733508656586
66,0,GSP-GRS,25.03056201452309,43.15229916572571,200,136,10,0.9792766319398587,19,0.6891116829729327,6.597107166337936
