,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
3861,Grd-Ran,39.209481087557315,0.07725286483764648,900,79.0,0,65
3862,Grd-Ran,32.950628192016744,0.056860923767089844,900,67.0,0,55
3863,Grd-Ran,32.18099966413757,0.060647010803222656,900,65.0,0,55
3864,Grd-Ran,35.5734156149275,0.07665681838989258,900,73.0,0,53
3865,Grd-Ran,30.471247006897794,0.06550288200378418,900,62.0,0,49
3866,Grd-Ran,36.24497252932563,0.07177591323852539,900,74.0,0,58
3867,Grd-Ran,30.2835153295144,0.05938982963562012,900,62.0,0,38
3868,Grd-Ran,37.901616912790985,0.07177281379699707,900,77.0,0,58
3869,Grd-Ran,42.452406365121185,0.0714869499206543,900,87.0,0,65
3870,Grd-Ran,37.11340539970301,0.0730431079864502,900,76.0,0,55
3871,Grd-Ran,34.98910677902788,0.06673812866210938,900,71.0,0,56
3872,Grd-Ran,42.20537830196092,0.07319402694702148,900,86.0,0,63
3873,Grd-Ran,34.26057121105111,0.06916213035583496,900,70.0,0,53
3874,Grd-Ran,34.52730098964799,0.059983015060424805,900,70.0,0,60
3875,Grd-Ran,42.071025846737605,0.08231925964355469,900,85.0,0,74
3876,Grd-Ran,37.52577835224053,0.06371498107910156,900,76.0,0,63
3877,Grd-Ran,28.79283048116617,0.05426192283630371,900,59.0,0,47
3878,Grd-Ran,36.05834676879298,0.045538902282714844,900,73.0,0,62
3879,Grd-Ran,41.27080717324568,0.059841156005859375,900,83.0,0,74
3880,Grd-Ran,43.44487212367737,0.07494401931762695,900,88.0,0,72
3881,Grd-Ran,34.03560519280412,0.058328866958618164,900,69.0,0,60
3882,Grd-Ran,36.51181074056387,0.06511998176574707,900,74.0,0,57
3883,Grd-Ran,29.396871969540612,0.04829096794128418,900,60.0,0,47
3884,Grd-Ran,41.09176163737902,0.08914685249328613,900,84.0,0,59
3885,Grd-Ran,41.76616732528139,0.08539700508117676,900,86.0,0,60
