,round,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
125,5,AGP,96.19887137207687,75.8334801197052,150,104.0,12,61
126,6,AGP,87.59263845003726,69.44450378417969,150,95.0,10,58
127,7,AGP,108.1748731663866,96.99758911132812,150,118.0,8,64
128,8,AGP,105.93253078101256,103.42520594596863,150,114.0,11,70
129,9,AGP,104.03989720880692,91.6038589477539,150,113.0,11,64
130,0,AGP,108.37508886167473,105.20889019966125,200,118.0,9,57
131,1,AGP,111.44907515869258,116.67204403877258,200,121.0,12,57
132,2,AGP,110.05752405084439,111.02581882476807,200,120.0,11,66
133,3,AGP,106.76924675464801,105.36504411697388,200,117.0,6,56
134,4,AGP,118.69152861153204,110.6706759929657,200,132.0,4,62
135,5,AGP,93.55363638036023,77.70224094390869,200,100.0,10,67
136,6,AGP,99.3506081991599,90.7869040966034,200,109.0,6,50
137,7,AGP,123.16832871371037,122.34579110145569,200,134.0,18,79
138,8,AGP,112.12766244536229,120.05442476272583,200,123.0,15,64
139,9,AGP,117.36885131325072,114.7092981338501,200,129.0,11,69
140,0,AGP,116.90006538871859,112.01767921447754,250,130.0,8,51
141,1,AGP,120.4542579463714,134.2654891014099,250,133.0,11,69
142,2,AGP,118.32399047939334,121.2400586605072,250,132.0,2,56
143,3,AGP,113.85587366892707,125.39444208145142,250,130.0,2,43
144,4,AGP,118.64612407187484,124.83642911911011,250,133.0,9,71
145,5,AGP,119.6954289663812,113.06015515327454,250,134.0,11,60
146,6,AGP,109.81907981858062,106.03246784210205,250,121.0,11,64
147,7,AGP,109.92438642955217,125.47682571411133,250,122.0,12,69
148,8,AGP,109.81409972703047,149.21832704544067,250,121.0,15,64
149,9,AGP,122.06686030212875,149.63692474365234,250,134.0,10,70
150,0,Knapsack,37.7375151680775,2.0920839309692383,50,41.0,3,33
151,1,Knapsack,35.442192927996004,2.015042781829834,50,38.0,4,31
152,2,Knapsack,33.70455125245285,2.079627752304077,50,37.0,2,30
153,3,Knapsack,40.52131724823438,2.458491086959839,50,44.0,5,35
154,4,Knapsack,37.25763285915068,2.56630277633667,50,40.0,10,33
155,5,Knapsack,31.139399947453338,2.069545030593872,50,34.0,4,27
156,6,Knapsack,41.65075451694039,2.3779547214508057,50,46.0,4,33
157,7,Knapsack,41.59330198513512,2.1168441772460938,50,45.0,7,35
158,8,Knapsack,40.33398559058921,2.281006097793579,50,44.0,5,34
159,9,Knapsack,38.66104490928132,2.3898160457611084,50,42.0,4,34
160,0,Knapsack,58.59659117093805,2.098443031311035,100,64.0,3,39
161,1,Knapsack,58.535880957147214,2.1576430797576904,100,65.0,4,40
162,2,Knapsack,46.70807058938634,2.359503746032715,100,51.0,9,32
163,3,Knapsack,62.18632986157193,2.500730037689209,100,68.0,8,47
164,4,Knapsack,59.39940232516166,2.3966851234436035,100,65.0,7,42
165,5,Knapsack,57.72115789513115,2.1161317825317383,100,63.0,8,37
166,6,Knapsack,54.826296071852795,2.0424370765686035,100,60.0,7,36
167,7,Knapsack,54.62649194072775,1.9424099922180176,100,59.0,5,38
168,8,Knapsack,63.15914182405614,2.1621382236480713,100,69.0,8,45
169,9,Knapsack,57.229930015048986,2.0369439125061035,100,62.0,8,37
170,0,Knapsack,58.65512317242538,2.0488219261169434,150,65.0,8,34
171,1,Knapsack,59.34286927788552,2.2065370082855225,150,65.0,4,34
172,2,Knapsack,62.664785886658564,2.28085994720459,150,70.0,5,39
173,3,Knapsack,58.80055234862018,2.362355947494507,150,64.0,8,41
174,4,Knapsack,70.57897189442384,2.3211731910705566,150,77.0,10,47
175,5,Knapsack,64.65109019865162,2.2400848865509033,150,71.0,12,38
176,6,Knapsack,68.72592644184306,2.053762197494507,150,78.0,3,38
177,7,Knapsack,66.09264241367943,2.226677894592285,150,74.0,4,36
178,8,Knapsack,66.70200192578923,2.2652688026428223,150,74.0,7,43
179,9,Knapsack,73.26755241579073,2.4307327270507812,150,81.0,7,46
180,0,Knapsack,66.65672247283243,2.366034984588623,200,74.0,6,32
181,1,Knapsack,67.33179095191821,2.642595052719116,200,74.0,5,46
182,2,Knapsack,70.38241923023232,2.060405969619751,200,80.0,4,35
183,3,Knapsack,70.2142533622279,2.232844114303589,200,79.0,7,35
184,4,Knapsack,64.53951849374229,2.3013811111450195,200,73.0,5,26
185,5,Knapsack,67.57155606273311,2.2909750938415527,200,75.0,2,37
186,6,Knapsack,61.584912050746254,2.3080320358276367,200,69.0,6,36
187,7,Knapsack,69.87280732596064,2.596336841583252,200,80.0,2,26
188,8,Knapsack,64.78975360202645,2.5783531665802,200,71.0,6,41
189,9,Knapsack,49.60648134157686,2.307832956314087,200,56.0,3,24
190,0,Knapsack,69.64391494859245,2.3105251789093018,250,78.0,7,31
191,1,Knapsack,65.71003708906528,2.5348739624023438,250,76.0,3,23
192,2,Knapsack,68.14294792401954,2.2050750255584717,250,77.0,6,34
193,3,Knapsack,66.28791143796627,2.3161630630493164,250,76.0,4,32
194,4,Knapsack,73.43406718969891,2.2344918251037598,250,83.0,4,46
195,5,Knapsack,68.37227659115464,2.024050235748291,250,79.0,5,35
196,6,Knapsack,65.74242020600187,1.9732918739318848,250,76.0,3,25
197,7,Knapsack,69.73295377870073,2.4915030002593994,250,82.0,1,24
198,8,Knapsack,63.908428993352835,2.3985371589660645,250,72.0,3,32
199,9,Knapsack,62.03923500379978,2.1463918685913086,250,70.0,6,34
200,0,Random,8.743646732526644,0.004687070846557617,50,10.0,0,8
201,1,Random,2.3809157714926554,0.005362987518310547,50,3.0,0,1
202,2,Random,3.7092559925900006,0.005330085754394531,50,4.0,1,2
203,3,Random,5.311581373506958,0.005671262741088867,50,6.0,0,3
204,4,Random,6.950675386959351,0.005741119384765625,50,8.0,0,8
205,5,Random,5.301787501410066,0.005568027496337891,50,6.0,0,6
206,6,Random,3.5044915033169026,0.005491971969604492,50,4.0,0,4
207,7,Random,7.057825714801475,0.005730867385864258,50,8.0,0,4
208,8,Random,4.350229218369275,0.004897117614746094,50,5.0,1,3
209,9,Random,3.5278427626146183,0.005655765533447266,50,4.0,0,2
210,0,Random,6.93566510011338,0.005464076995849609,100,8.0,0,3
211,1,Random,11.0326906911162,0.0052700042724609375,100,13.0,0,9
212,2,Random,11.95374849594288,0.005270957946777344,100,14.0,1,7
213,3,Random,9.192943822134545,0.005346059799194336,100,11.0,0,7
214,4,Random,9.24246421435209,0.005498170852661133,100,11.0,0,2
215,5,Random,9.31490205355966,0.005946159362792969,100,11.0,0,7
216,6,Random,9.616258807438609,0.006165027618408203,100,11.0,0,4
217,7,Random,5.06949729222956,0.005471944808959961,100,6.0,0,0
218,8,Random,5.119336587565579,0.005464076995849609,100,6.0,0,1
219,9,Random,15.484120637716302,0.0057659149169921875,100,18.0,0,6
220,0,Random,9.383394403521512,0.00604701042175293,150,11.0,1,2
221,1,Random,10.867602047741801,0.005554914474487305,150,13.0,1,6
222,2,Random,11.287502551518543,0.005522012710571289,150,13.0,0,4
223,3,Random,15.647457018328227,0.00615692138671875,150,19.0,0,5
224,4,Random,13.922799855042076,0.006077766418457031,150,17.0,0,3
225,5,Random,15.85245743547953,0.007137775421142578,150,19.0,1,7
226,6,Random,13.165756473083187,0.005983829498291016,150,16.0,0,8
227,7,Random,14.743840098145677,0.006056785583496094,150,17.0,0,8
228,8,Random,12.758147976769562,0.005654096603393555,150,16.0,1,3
229,9,Random,14.240165901159491,0.00597381591796875,150,16.0,1,8
230,0,Random,21.118175770378183,0.005371809005737305,200,25.0,0,10
231,1,Random,13.000404087060584,0.006330013275146484,200,16.0,0,4
232,2,Random,9.990780065562719,0.007114887237548828,200,12.0,0,6
233,3,Random,19.648145053760697,0.00615692138671875,200,24.0,1,6
234,4,Random,12.16651521455728,0.005939960479736328,200,15.0,0,5
235,5,Random,15.522073304449785,0.007294893264770508,200,18.0,1,10
236,6,Random,25.04457550595695,0.006167173385620117,200,29.0,2,17
237,7,Random,17.328554507090143,0.006440877914428711,200,21.0,0,7
238,8,Random,14.43507894125608,0.0074291229248046875,200,18.0,0,7
239,9,Random,19.67513670829122,0.00570988655090332,200,24.0,0,8
240,0,Random,24.156259407108383,0.0055849552154541016,250,30.0,1,8
241,1,Random,20.45355858219275,0.008802175521850586,250,26.0,0,5
242,2,Random,16.183025633790077,0.007237911224365234,250,20.0,0,4
243,3,Random,19.66640558755188,0.006019115447998047,250,25.0,0,4
244,4,Random,14.252690139895845,0.006407022476196289,250,18.0,0,3
245,5,Random,20.66588689998426,0.005583763122558594,250,25.0,0,5
246,6,Random,27.126673523564666,0.005634784698486328,250,33.0,1,10
247,7,Random,21.147704508218837,0.006497859954833984,250,25.0,1,9
248,8,Random,16.25789406081311,0.006827116012573242,250,20.0,1,6
249,9,Random,10.596498471222004,0.007908821105957031,250,13.0,0,2
